"ERR2603466","ERR2603467","ERR2603468","ERR2603469","ERR2603470","ERR2603471","ERR2603472","ERR2603473","ERR2603474","ERR2603475","ERR2603476","ERR2603477","ERR2603478","ERR2603479","ERR2603480","ERR2603481","ERR2603482","ERR2603483","ERR2603484","ERR2603485","ERR2603486","ERR2603487","ERR2603488","ERR2603489","ERR2603490","ERR2603491","ERR2603492","ERR2603493","ERR2603494","ERR2603495","ERR2603496","ERR2603497","ERR2603498","ERR2603499","ERR2603500","ERR2603501","ERR2603502","ERR2603503","ERR2603504","ERR2603505","ERR2603506","ERR2603507","ERR2603508","ERR2603509","ERR2603510","ERR2603511","ERR2603512","ERR2603513","ERR2603514","ERR2603515","ERR2603516","ERR2603517","ERR2603518","ERR2603519","ERR2603520","ERR2603521","ERR2603522","ERR2603523","ERR2603524","ERR2603525","ERR2603526","ERR2603527","ERR2603528","ERR2603529","ERR2603530","ERR2603531","ERR2603532","ERR2603533","ERR2603534","ERR2603535","ERR2603536","ERR2603537","ERR2603538","ERR2603539","ERR2603540","ERR2603541","ERR2603542","ERR2603543","ERR2603544","ERR2603545","ERR2603546","ERR2603547","ERR2603548","ERR2603549","ERR2603550","ERR2603551","ERR2603552","ERR2603553","ERR2603554","ERR2603555"
148.88,27.04,45.95,8.7,31.35,140.22,45.7,233.99,142.21,36.26,0.49,0,2.37,92.48,11.95,10.23,7.05,8.26,21.7,172.58,0.08,77.44,17.29,167.77,374.83,13.61,4.03,106.2,1.34,2.28,91.5,23.5,27.34,80.79,0.54,228.59,19.02,9.11,22.9,33.07,2.73,53.58,9.99,114.21,6.88,55.37,8.32,12.75,10.34,276.47,23.23,142.68,135.16,164.89,72.26,1.12,116,40.14,4.79,105.77,80.47,112.31,5.64,134.3,209.77,78.18,71.4,51.55,32.49,132.75,64.5,36.94,146.42,5.25,75.67,0.9,1.48,44.34,69.5,36.86,286.77,39.36,49.14,62.86,43.85,17.07,20.64,65.44,0.66,32.44
2.99,10.83,25.53,5.12,4.62,20.37,2.07,20.43,1.15,9.64,12.61,0.08,2.62,5.81,5.53,31.9,9.45,0.76,19.07,5.56,1.1,8.5,10.4,1.33,0.68,7.31,3.13,38.5,4.94,42.17,39.36,0.34,8.36,3.72,0.07,1.65,26.39,17.42,0.76,3.7,2.08,22.34,27.57,1.83,18.4,14.85,38.58,18.79,30.99,27.94,30.45,9.1,10.99,8.78,6.88,21.07,0.44,9.84,20.93,3.16,1.43,3.59,12.03,3.53,3.65,2.62,4.36,5.43,3.65,12.59,8.38,4.17,12.73,17.47,5.04,0.03,26.02,9.1,3.79,6.37,16.86,8.92,42.17,3,3.89,17.81,6.15,36.5,19.76,41.33
11.09,8.93,14.08,1.85,4.73,22.95,19.61,21.32,17.51,8.87,2.24,0.2,0.4,8.99,1.99,7.34,3.39,1.86,11.45,9.2,0.51,5.81,9.55,17.92,19.77,5.7,1.35,15.76,1.18,2.6,7.67,6.48,1.96,13.74,0.11,27.84,2.49,4.6,8.1,4.3,4.93,14.24,4.73,19.74,4.61,18.3,17.63,8.66,8.06,20.63,14.09,9.8,18.78,19.24,9.98,2.42,15.89,9.13,2.66,6.47,16.07,20.56,6.78,9.51,20.5,6.71,14.93,6.26,2.88,11.3,23.95,9.98,27.25,9.14,16.18,0.04,3.18,10.72,10.11,5.76,27.97,10.41,16.19,19.91,11.75,6.98,13.23,19.58,0.75,16.53
5.16,2.25,6.69,3.37,0.64,9.48,0.83,7.96,0.91,6.63,4.02,0.04,0.89,4.17,1.25,8.08,6.67,0.29,15.27,0.5,0.51,5.49,9.52,4.6,1.16,5.8,0.65,18.78,2.2,29.86,4.52,0.87,1.31,2.4,0.02,1.65,16.78,7.27,1.32,2.6,0.76,8.47,13.32,2.45,10.72,12.83,13.5,5.34,11.13,18.91,12.61,6.13,6.4,3.2,5.85,10.74,5.21,6.17,14.16,1.61,1.98,4.02,14.59,2.93,6.05,4.67,7.79,1.75,1.04,3.65,6.19,1.22,4.67,7.9,3.58,0.02,5.62,5.8,2.68,3.42,6.29,4.78,20.44,1.99,3.47,10.11,4,10.03,13.23,13.08
14.18,5,2.24,0.67,4.15,6.18,4.36,9.77,6.38,2,0.87,0.17,6.39,3,3.02,0.53,2.37,1.34,1.97,3.13,0.91,1.89,0.65,6.56,12.88,1.91,4.14,4.56,0.48,0.55,3.14,3.68,1.28,4.85,0,18.53,0.59,0.28,2.56,2.1,0.86,2.36,1.02,4.89,0.7,7.96,1.04,5.06,1.37,20.48,2.04,3.24,7.33,2.35,4.79,1.53,4.04,3.62,0.76,6.91,5.05,4.28,6.51,5.71,7.48,6.8,2.46,3.95,1.13,3.32,5.35,9.1,8.16,1.11,4.51,2.21,0.44,2.84,18.89,3.6,13.27,2.97,4.62,7.92,2.09,5.43,1.03,1.96,0.36,3.76
1.71,0.97,19.06,2.47,2.67,0.52,0.2,3.92,0.15,11.3,0.46,0,3.81,0.8,10.6,18.55,1.79,0,4.37,0.77,3.23,6.97,3.62,0.29,0,4.84,1.63,3.84,9.25,10.61,88.56,0,6.58,0.26,0.22,0.07,30.1,4.89,0,0.53,0.27,4.61,28.32,1.22,18.18,3.25,3.45,2.28,10.48,27.32,8.36,1.87,1.37,2.24,1.05,11.04,0.29,5.69,4,0.47,0.48,0.19,3.68,0.76,0.49,0.31,0.57,0.57,11.57,1.19,1,2.58,6.8,6.12,0.6,0.09,14.03,0.13,0.33,1.5,5.14,3.77,10.88,0.74,1.2,17.29,1.37,31.02,2.36,16.74
5.42,8.5,11.34,5.07,4.67,10.62,10.62,12,3.3,2.91,6.05,0.6,3.46,10.32,2.7,8.7,4.84,1.29,12.06,6.68,11,7.94,14.23,11,6.29,7.58,3.89,4.84,0.57,3.81,3.38,7.94,3.06,13.73,4.81,7.89,5.37,5.32,16.54,2.6,5.13,11.42,4.93,10.98,6.64,13.4,12.37,9.06,7.42,11.18,12.26,10.81,13.33,14.93,10.97,6.97,16.6,8.18,4.25,3.75,10.16,6.02,5.19,3.53,11.55,6.49,17.38,6.83,1.96,7.97,11.73,8.83,24.74,9.07,4.72,1.84,3.88,4.84,6.84,6.37,14.08,6.78,11.44,11.3,9.38,11.86,10.64,7.85,3.29,16.15
4.21,6.53,8.4,4.69,1.85,6.29,2.92,8.93,1.78,6.26,7.09,0.24,1.79,5.64,5.28,16.75,5.39,0.3,17.7,3.26,1.93,4.49,7.82,2.62,3.62,5.77,0.65,6.57,0.94,14.84,14.43,1.58,4.29,2.93,1.79,4.28,22.45,9.79,1.51,2.4,1.1,9.03,11.83,2.35,15.01,8.48,8.9,4.93,10.55,15.22,11.8,3.91,5.63,4.27,4.51,12.01,1.95,5.34,3.62,1.52,2.46,2.38,7,3.04,5.65,2.47,6.51,2.27,1.43,4.2,4.57,3.53,7.76,7.16,3.9,0.19,14.7,1.93,2.09,5.18,12.82,3.48,20.83,1.15,3.04,17.68,3.02,30.82,11.95,21.7
5.23,15.31,9.43,1.73,10.46,25.19,67.05,36.97,17.43,9.63,1.99,0.09,0.36,30.27,1.18,8.98,0.91,1.56,13.65,6.75,0.39,8.37,2.24,16.59,19.33,22.95,10.1,11.44,0.76,0.66,3.26,9.38,1.55,45.9,0.09,1.86,1.44,10.4,11.59,1.59,11.09,17.19,3.44,33.81,6.45,27.05,23.08,20.55,23.18,45.9,28.15,26.19,22.05,35.19,21.03,2.92,35.72,3.18,4.92,13.84,14.59,39.54,4.4,9.66,24.84,9.65,17.72,9.14,2.34,19.82,40.34,26.24,27.12,5.35,7.34,0.04,0.9,5.37,0.32,16.75,22.43,12.28,4.26,16.94,30.88,13.39,22.45,8.2,1.59,35.95
3.92,5.28,7.51,1.64,1.46,9.97,2.83,8.79,0.68,3.82,4.67,0.08,1.42,3.66,2.67,13.51,2.26,0.09,9.08,1.43,2.67,6.81,6.79,1.16,1.07,4.47,0.14,11.11,1.61,7.02,14.85,0.79,2.83,1.8,0.28,0.95,9.16,7.12,1.01,1,0.36,6.95,11.82,2.03,7.8,9.92,13.64,3.54,16.18,10.7,16.34,3.62,7.43,5.02,4.74,8.22,1.62,4,9.45,1.77,4.37,1.88,7.68,2.02,3.67,3.57,6.32,3.32,1.67,5.56,8.4,3.96,9.26,3.91,1.84,0.6,11.22,2.85,1.46,1.93,7.38,3.03,10.5,1.82,3.7,4.66,2.84,25.12,7.03,11.39
8.45,8.73,11.1,2.77,4.78,21.58,16.36,18.04,11.59,7.7,6.2,0.66,0.86,11.24,0.92,12.71,9.46,1.41,5.71,17.95,1.2,9.96,6.15,19.49,8.37,6.42,4.95,7.93,0.5,2.2,3.61,6.8,3.08,22.27,0.31,8.12,5.06,4.62,16.27,29.6,3.17,10.94,3.63,18.53,5.88,18.11,10.48,15.85,12.59,18.7,18.26,14.98,22.39,11.13,13.77,11.8,11.98,8.14,5.38,7.98,13.85,12.91,6.92,6.06,28.62,6.07,16.9,4.75,2.16,5.82,16.77,11.19,24.35,6.85,8.27,0.22,2.92,5.54,5.53,8.57,25.98,10.62,6.61,10.05,15.31,10.1,9.81,5.43,3.58,11.01
4.53,13.31,12.95,4.99,7.92,9.22,7.74,10.72,2.46,8.66,14.2,0.06,2.52,7.38,2.36,16.24,11.72,0.52,27.62,3.18,11.45,10.55,21.24,8.47,10.24,15.74,5.35,17.81,2.53,10.99,18.41,4.19,4.89,6.4,42.57,2.4,16.73,11.75,2.64,4.91,3.8,9.38,18.26,8.95,21.62,10.49,18.61,13.96,14.18,10.8,12.61,8.84,8.58,5.68,10.02,19.25,4.76,3.39,18.67,3.88,7.46,5.19,19.84,8.45,8.68,2.61,10.67,8.63,3.29,7.02,8.71,5.71,5.87,9.5,6.77,1.87,17.29,5.5,4.03,7.16,10.88,7.43,15,6.68,6.98,15.19,10.95,17.28,14.26,21.14
20.66,22.71,20.05,3.62,9.33,33.15,60.39,42.55,11.95,8.14,3.12,0.12,1.62,27.19,0.79,5.95,2.37,1.57,5.63,7.53,0.21,15.38,9.05,22.36,55.4,17.75,1.33,18.75,1.69,8.07,3.62,5.1,7.9,35.87,0.2,38.38,2.89,8.24,45.03,2.45,13.06,31.35,8.6,30.75,2.78,27.17,32.51,16.79,16.72,36.86,17.21,33.1,43.45,36.11,26.81,3.85,26.11,21.34,5.24,3.52,12.95,42.09,4.96,6.13,20.63,34.24,12.39,17.19,7.68,28.94,37.53,17.13,16.4,20.51,18.35,0.27,2.52,7.15,2.83,6.38,56.38,24.13,26.23,46.77,20.45,25.7,30.43,12.74,1.47,37.97
43.5,41.44,67.55,22.35,24.99,73.9,27.39,65.97,8.66,33.5,33.48,4.04,9.19,40.18,10.77,56.59,25.95,4.35,43.41,8.34,5.08,46.26,109.9,16.84,30.77,45.38,4.26,114.55,26.25,83.77,51.66,12.01,34.37,44.6,0.97,38.71,54.33,31.56,20.96,11.35,32.91,68.68,82.18,36.92,66.79,70.27,77.37,48.13,72.19,58.79,81.56,40.43,48.51,35.63,60.68,25.03,14.32,59.36,100.23,16.24,21.9,38.15,51.5,26.61,36.31,24.24,43.48,32.76,19.99,61.86,55.98,28.22,32.16,25.72,42.21,1.18,91.68,81.06,18.82,18.2,70.07,45.23,68.16,34.18,34.52,40.51,52.74,82.47,42.11,87.73
4.11,9.49,4.61,2.96,3.9,4.42,13.92,9.19,7.27,3.49,2.11,1.04,1.73,8.91,1.33,2.52,1.38,1.09,6.11,3.39,0.91,4.19,2.8,9.68,11.47,3.03,2.17,3.5,0.96,0.97,2.52,2.93,6.8,6.58,1.22,6.72,2.34,5.2,12.05,1.35,1.62,4.49,2.79,10.77,4.81,5.93,6.82,1.71,2.99,7.15,3.67,4.16,6.85,8.21,5.03,6.64,7,4.51,2.31,2.54,7.82,7.9,1.41,5.69,6.21,4.29,6.75,3.52,2.71,5.28,8.08,3.28,19.98,7.65,9.09,0.45,3.66,4.16,2.68,15.11,18.63,7.98,4.53,3.23,8.16,10.63,8.12,2.76,1.42,7.09
0.63,0.99,9.46,8.54,0.42,5.63,0.04,5.8,0.19,2.77,0.99,0,13.35,0.55,2.89,14.69,0.4,0.2,4.77,0.39,0.63,4.13,2.65,0.29,0.4,4.68,0.09,13.25,1.8,6.93,23.43,0.11,2.37,0.24,0.12,0.35,12.5,2.12,0.03,0.47,0.04,2.36,13.59,0.29,4.32,1.67,2.82,1.16,6.88,11.74,4.82,0.92,1.86,1.6,1.56,5.09,0,2.16,7.62,0.03,0.18,0.46,1.57,1.02,1.58,0.3,0.42,0.57,2.37,1.02,1.25,0.22,1.59,3.67,1.21,1.32,5.04,2.5,1.24,0.83,2.48,0.55,6.95,0.1,1.13,5.02,0.64,13,4.86,4.16
112.8,110.64,41.73,11.39,26.35,101.74,167.09,209.43,107.97,34.86,1.64,0.1,2.22,82.52,1.18,7.61,2.49,2.85,27.07,31.15,0.09,42.99,21.03,138.97,307.88,23.09,2.23,51.89,1.31,32.85,25.74,12.43,13.89,82.72,0.05,203.88,4.09,8.22,140.1,7.55,10.18,76.61,14,123.5,1.02,101.13,63.09,23.2,32.92,212.26,22.61,139.28,181.36,100.79,222.1,5.82,131.75,84.71,5.31,20.74,42.91,154.79,5.76,38.46,111.38,101.21,41.07,60.9,10.56,101.71,88.98,73.96,106.57,36.66,30.41,0.52,2.33,5.1,21.21,17.19,155.47,54.37,70.66,157.31,56.02,91.91,39,30.53,0.28,35.91
52.63,43.46,39.69,25.75,20.31,60.13,45.96,86.65,24.55,20.74,27.03,3.22,10.04,45.13,6.91,34.33,55.3,9.53,25.63,21.65,27.99,36.28,25.36,49.91,75.52,28.31,20.37,58.01,4.63,24.03,17.05,18.3,15.94,41.69,13.82,61.45,13.91,27.6,46.64,13.97,19.67,66.08,18.05,61.52,33.12,60.68,47.3,38.28,34.85,52.37,48.27,52.2,57.5,52.01,66.49,30.26,38.07,43.12,32.82,14.87,36.8,38.16,22.07,16.65,60.65,36.12,70,30.21,8.24,39.29,50.96,43.12,66.36,36.48,42.24,9.15,26.23,38.93,18.29,22.68,93.28,43.24,83.15,60.32,27.41,45.07,39.46,37.78,16.08,93.85
